ID,Description,Entry_ID,Antonym,Bibliographical_Reference,Encyclopedic_Info,Etymology_Source,Infobox,Infobox_Teanu,Lexical_Function_Gloss,Literally,Media_IDs,Scientific_Name,Semantic_Domain,Sense_Comment,Synonym,Syntactic_Restriction,Typical_Subject
SN002454,"cutnut, bush nut (Lecythidaceae)",vebe_1,,,,,,,,,,Barringtonia edulis,Bot,,,,
SN002455,"k.o. cutnut, whose elongated fruit reminds of an arrow tip",vebe_mata-diro_1,,,,,,,,arrow-tip vebe1,,,,,,,
SN002456,"k.o. pandanus, the leaves of which cannot be woven (vs [kie](kie_1) ~ [woubo](woubo_1))",vede_1,,,,,,,,,371f6b08beea8a3180421ce4b9edbfb4,Pandanus spp,Bot,,,,
SN002457,"weave ‹s.th.›, plait",LX000469,,,,,,,,,b6f001a334173d4903a9333e6b835278,,,,,,
SN002458,k.o. creeper,veiebe_1,,,,,,,,,,Merremia peltata,Bot,,,,
SN002459,wild,veiko_1,,,,,,,,,,,,,,,
SN002460,"k.o. pudding made of taros ([jebute](jebute_1)) and almonds ([vongoro](vongoro_1)), always presented in a long shape, and served on long Heliconia leaves ([lukilo vekai](lukilo_vekai_1)) during public celebrations",vekai_1,,,,,,,,,,,Food,,,,
SN002461,where,vele_1,,,,,,,,,,,,,,,
SN002462,edible starch,velebie_1,,,,,,,,,,,Food,,,,
SN002463,crooked,LX000470,susuko_1,,,,,,,,,,,,,,
SN002464,"mid-season, middle of the year",velesebe_1,,,,,,,,,,,,,,,
SN002465,old,velia_1,motoe_1,,,,,,old man,,,,,,pine_1,,"s.th., s.o."
SN002466,"Feluko: a mythical island located southeast of Vanikoro, in northern Vanuatu ([iura](iura_1)) – the origin of [tamate](tamate_1) dances and masks",Veluko_1,,,,,,,,,,,,,,,
SN002467,"go up, rise",LX000471,,,,,,,,,,,,,,,
SN002468,climb,LX000471,,,,,,,,,,,,esp,,,hum
SN002469,extend upwards,LX000471,,,,,,,,,,,,fig,,,
SN002470,travel east or south,LX000471,LX000002,,,,,,,go upwind,,,,,,geocentric coordinates,
SN002471,"(move+) up, upwards",LX000472,,,,,,,,,,,,,,after intransitive verb,
SN002472,"(take, move s.th.) up",LX000472,,,,,,,,,,,,,,after transitive verb,
SN002473,take s.th. upwards,LX000473,,,,,,,,,,,,,,,
SN002474,"set up, create",LX000473,,,,,,,,,,,,,,,
SN002475,clean,vengela_1,sukuro_1,,,,,,,,,,,,,,
SN002476,clear,vengela_1,done_1,,,,,,,,,,,,,,
SN002477,seed,vese_1,,,,,,,,,,,Bot,,,,plant
SN002478,"small part, element: used in various compounds",vese_1,,,,,,,,,,,,,,,
SN002479,elbow,vese_ma_1,,,,,,,,element of arm,,,Anat,,,,
SN002480,word,vese_piene_1,,,,,,,,bits of speech,,,,,,,
SN002481,elbow,vesema_1,,,,,,,,,,,Anat,,,,
SN002482,word,vesepiene_1,,,,,,,,seed of speech,,,,,,,
SN002483,cone shell,vesevelae_1,,,,,,,,,,Conus spp.,Sea,,aero_we_anive_1,,
SN002484,"erect, put up, stand up ‹s.th.› vertically",LX000474,,,,,,,,,,,,,,,
SN002485,perform (?) ‹dances+›,LX000474,,,,,,,,,,,,,,,
SN002486,"rise, go up",LX000475,,,,,,,,,,,,,,,s.th.
SN002487,sail,LX000475,,,,,,,,,,,,,,,s.o.
SN002488,"sail, go sailing, travel on sailing boat",LX000476,,,,,,,,hoist the sail,,,,,LX000356,,
SN002489,"utter, say, declare ‹s.th.›",LX000477,,,,,,,,,,,,,,+object NP or direct speech,
SN002490,"mention ‹s.o., s.th.›, talk about",LX000477,,,,,,,,,,,,,,,
