ID,Language_ID,Headword,Part_Of_Speech,1st_Person_SG,3rd_Person_SG,Contains,Entry_IDs,Etymology,Heterosemes,Lovono_Equivalent,Main_Entry,Morphology,Orthographic_Variant,Paradigm_Form,Phonetic_Form,Reduplication_Form,Tanema_Equivalent,Variant_Form
LX000032,tkw,~mini aña (dameliko),verb-object idiom,,,LX000031,,,,,,[~mini](LX000273) ‘give’ + [aña](LX000031) + [dameliko](dameliko_1) ‘children’,,,,,,
LX000033,tkw,~añabu,"verb, transitive",,,,LX000090 ; LX000436,,,,,,,,(i·)aɲaᵐbu,,,
LX000034,tkw,añaña,"noun, relational",,,,,,,,,,,,aɲaɲa,,,
LX000035,tkw,añanga,"noun, relational",,,,,,,,,,,,aɲaŋa,,,
LX000036,tkw,añawo,noun,,,,,,,,,,,,aɲawo,,,
LX000037,tkw,loro ie añawo,noun,,,LX000036,,,,,,,,,,,,
angede_1,tkw,angede,"noun, relational",,,,angede_ovene_1,,,aiaka,,,,,aŋeⁿde,,angeda,
angede_ovene_1,tkw,angede ovene,noun,,,,LX000379,,,,,[angede](angede_1) + [ovene](ovene_1),,,aŋeⁿde ovene,,,
apali_1,tkw,apali,noun,,,,menu_1,,,apali(oko),,Cf. [apilaka](apilaka_1) ‘small’,,pl: dameliko,apali,,weku,
apalimata_1,tkw,apalimata,"noun, relational",,,,,,,,,[apali](apali_1) ‘child’ + [mata](mata_1) (?),,,apalimata,,,
ape_1,tkw,ape,possessive,,,,enaka_1,,,aie,,,,,ape,,ana,
apilaka_1,tkw,apilaka,adjective,,,,,,,apalioko,,Cf. [apali](apali_1) ‘child’,,,apilaka ; aplaɣa,,"piñe, piñu(kako)",aplaka
LX000038,tkw,~apilo,"verb, transitive",,,,,,,,,,,,(i·)apilo,,,
LX000039,tkw,~apilo sekele,verb-object idiom,,,LX000038,,,,,,,,,,,,
LX000040,tkw,~apini,"verb, transitive",,,,LX000004,,,,,,,,(i·)apini,,,
LX000041,tkw,~apinu,"verb, intransitive",,,,,,,,,,,,(i·)apinu,,,
apono_1,tkw,apono,noun,,,,ngiro_1 ; melevele_1,,,,,,,,apono,,,
LX000042,tkw,~aptei,"verb, intransitive",,,,LX000508 ; leka_1,,,,,,,,(i·)aptei,,,
aremo_1,tkw,aremo,noun,,,,,,,,,,,,aremo,,,
LX000043,tkw,~arevo,"verb, transitive",,,,LX000004,,,,,,,,(i·)arevo,,,
LX000044,tkw,~asai,"verb, transitive",,,,,,,~se,,,,,(i·)asai,,~so,
